section_name,section_id3,office_id,article_id,url,title,press,wdate,source_file
기업,402,018,0006160475,https://n.news.naver.com/mnews/article/018/0006160475,"롯데쇼핑, 4분기 성수기 앞두고 양호한 성장세 지속-대신",이데일리,2025-11-10 07:33,naver_news_list_20251110_s402_p2.html
기업,402,015,0005209005,https://n.news.naver.com/mnews/article/015/0005209005,"""한국콜마, 3분기 영업익 기대치 밑돌아…미국 법인 적자 영향""-DB",한국경제,2025-11-10 07:28,naver_news_list_20251110_s402_p2.html
기업,402,009,0005587205,https://n.news.naver.com/mnews/article/009/0005587205,“믿습니다. 하이닉스 믿습니다”...외국인 물량 다 받아내는 동학개미,매일경제,2025-11-10 06:05,naver_news_list_20251110_s402_p2.html
기업,402,008,0005275569,https://n.news.naver.com/mnews/article/008/0005275569,"흔들리는 코스피, 주도주 잡아야 산다",머니투데이,2025-11-10 04:10,naver_news_list_20251110_s402_p2.html
해외,403,018,0006160510,https://n.news.naver.com/mnews/article/018/0006160510,셧다운 종료 가능성 속 달러 수요 지속…환율 1460원 경계[외환브리핑],이데일리,2025-11-10 08:21,naver_news_list_20251110_s403_p1.html
해외,403,277,0005676737,https://n.news.naver.com/mnews/article/277/0005676737,"대신 ""추가 엔저 경계감…11월 일본증시 발목잡을 것""",아시아경제,2025-11-10 08:18,naver_news_list_20251110_s403_p1.html
해외,403,018,0006160505,https://n.news.naver.com/mnews/article/018/0006160505,길어지는 미 연방정부 셧다운에 불확실성↑[채권브리핑],이데일리,2025-11-10 08:17,naver_news_list_20251110_s403_p1.html
해외,403,277,0005676690,https://n.news.naver.com/mnews/article/277/0005676690,"돌연 ""관세 수입으로 모든 사람에게 1인당 291만원씩 배당""…대법 판결 앞두고 초조한 트럼프(종합)",아시아경제,2025-11-10 06:46,naver_news_list_20251110_s403_p1.html
해외,403,277,0005676689,https://n.news.naver.com/mnews/article/277/0005676689,"美 재무 ""관세로 무역 균형 재조정""…트럼프 '2000달러 배당' 발언 수습",아시아경제,2025-11-10 06:34,naver_news_list_20251110_s403_p1.html
해외,403,277,0005676674,https://n.news.naver.com/mnews/article/277/0005676674,"美 정부 ""셧다운 지속 시 추수감사절 항공 대란 우려""…4분기 역성장 경고도",아시아경제,2025-11-10 04:52,naver_news_list_20251110_s403_p1.html
