name,price,change,detail_url
RISE 미국반도체인버스(합성 H),"12,450",하락 -470,https://riseetf.co.kr/prod/finderDetail/44H3
RISE 미국테크100데일리고정커버드콜,"11,335",상승 85,https://riseetf.co.kr/prod/finderDetail/44H5
RISE 미국AI밸류체인데일리고정커버드콜,"14,135",상승 230,https://riseetf.co.kr/prod/finderDetail/44H1
RISE 미국배당100데일리고정커버드콜,"8,635",상승 25,https://riseetf.co.kr/prod/finderDetail/44H2
RISE 일본섹터TOP4Plus,"12,320",상승 350,https://riseetf.co.kr/prod/finderDetail/44H0
RISE 미국AI밸류체인TOP3Plus,"18,290",상승 215,https://riseetf.co.kr/prod/finderDetail/44G9
RISE 미국30년국채액티브,"10,000",하락 -155,https://riseetf.co.kr/prod/finderDetail/44G6
RISE 국고채10년액티브,"105,600",하락 -610,https://riseetf.co.kr/prod/finderDetail/44G7
RISE KOFR금리액티브(합성),"104,745",상승 15,https://riseetf.co.kr/prod/finderDetail/44G5
RISE CD금리액티브(합성),"105,090",상승 35,https://riseetf.co.kr/prod/finderDetail/44G4
RISE 200위클리커버드콜,"10,735",상승 65,https://riseetf.co.kr/prod/finderDetail/44G3
RISE 버크셔포트폴리오TOP10,"13,935",하락 -10,https://riseetf.co.kr/prod/finderDetail/44G1
RISE 글로벌비만산업TOP2+,"9,020",하락 -60,https://riseetf.co.kr/prod/finderDetail/44G2
RISE 글로벌리얼티인컴,"10,350",상승 10,https://riseetf.co.kr/prod/finderDetail/44G0
RISE 미국30년국채엔화노출(합성 H),"8,335",하락 -100,https://riseetf.co.kr/prod/finderDetail/44F9
RISE 미국30년국채커버드콜(합성),"9,370",하락 -100,https://riseetf.co.kr/prod/finderDetail/44F8
RISE 미국달러선물인버스,"8,995",상승 5,https://riseetf.co.kr/prod/finderDetail/44F6
RISE 미국반도체NYSE,"21,270",상승 800,https://riseetf.co.kr/prod/finderDetail/44F3
RISE 미국반도체NYSE(H),"18,875",상승 665,https://riseetf.co.kr/prod/finderDetail/44F4
RISE AI&로봇,"11,980",하락 -515,https://riseetf.co.kr/prod/finderDetail/44F5
RISE 2차전지TOP10인버스(합성),"23,620",상승 120,https://riseetf.co.kr/prod/finderDetail/44F1
RISE 2차전지TOP10,"11,205",상승 30,https://riseetf.co.kr/prod/finderDetail/44F2
RISE 중국본토CSI300,"13,420",상승 200,https://riseetf.co.kr/prod/finderDetail/44E9
RISE 미국S&P배당킹,"10,665",하락 -20,https://riseetf.co.kr/prod/finderDetail/44E6
RISE 글로벌주식분산액티브,"16,555",상승 95,https://riseetf.co.kr/prod/finderDetail/44E7
RISE 글로벌자산배분액티브,"14,605",상승 15,https://riseetf.co.kr/prod/finderDetail/44E8
RISE 미국달러SOFR금리액티브(합성),"12,265",상승 5,https://riseetf.co.kr/prod/finderDetail/44E5
RISE 머니마켓액티브,"54,875",상승 5,https://riseetf.co.kr/prod/finderDetail/44E4
RISE 미국S&P500(H),"16,255",상승 40,https://riseetf.co.kr/prod/finderDetail/44E3
RISE 국채30년레버리지(합성),"21,600",하락 -430,https://riseetf.co.kr/prod/finderDetail/44E2
RISE TDF2030액티브,"14,025",상승 40,https://riseetf.co.kr/prod/finderDetail/44D3
RISE 테슬라애플아마존채권혼합,"16,855",상승 150,https://riseetf.co.kr/prod/finderDetail/44E1
RISE 삼성그룹Top3채권혼합,"11,585",하락 -75,https://riseetf.co.kr/prod/finderDetail/44E0
RISE 25-11회사채(AA-이상)액티브,"52,460",상승 25,https://riseetf.co.kr/prod/finderDetail/44D9
RISE 배터리 리사이클링,"10,880",상승 120,https://riseetf.co.kr/prod/finderDetail/44D7
RISE 글로벌원자력,"41,365",상승 230,https://riseetf.co.kr/prod/finderDetail/44D6
RISE TDF2040액티브,"14,975",상승 85,https://riseetf.co.kr/prod/finderDetail/44D4
RISE TDF2050액티브,"15,585",상승 85,https://riseetf.co.kr/prod/finderDetail/44D5
RISE 글로벌농업경제,"9,310",하락 -15,https://riseetf.co.kr/prod/finderDetail/44D1
RISE 미국단기투자등급회사채액티브,"12,830",하락 -20,https://riseetf.co.kr/prod/finderDetail/44D2
RISE 국채선물3년,"55,305",하락 -135,https://riseetf.co.kr/prod/finderDetail/44D0
RISE 플랫폼테마,"7,535",하락 -80,https://riseetf.co.kr/prod/finderDetail/44C9
RISE 2차전지액티브,"7,800",상승 50,https://riseetf.co.kr/prod/finderDetail/44C7
RISE 글로벌수소경제,"13,560",상승 520,https://riseetf.co.kr/prod/finderDetail/44C6
RISE 글로벌클린에너지,"9,795",상승 600,https://riseetf.co.kr/prod/finderDetail/44C3
RISE 메타버스,"7,575",하락 -105,https://riseetf.co.kr/prod/finderDetail/44C2
RISE 국채선물5년추종,"51,655",하락 -195,https://riseetf.co.kr/prod/finderDetail/44C0
RISE 컨택트대표,"7,145",하락 -20,https://riseetf.co.kr/prod/finderDetail/44B8
RISE 비메모리반도체액티브,"16,675",상승 225,https://riseetf.co.kr/prod/finderDetail/44B9
RISE 종합채권(A-이상)액티브,"108,765",하락 -390,https://riseetf.co.kr/prod/finderDetail/44B5
RISE 단기채권알파액티브,"113,845",상승 5,https://riseetf.co.kr/prod/finderDetail/44B6
RISE KIS국고채30년Enhanced,"73,420","하락 -1,000",https://riseetf.co.kr/prod/finderDetail/44B7
RISE 미국S&P500,"21,305",상승 40,https://riseetf.co.kr/prod/finderDetail/44B3
RISE 유로스탁스50(H),"15,870",상승 95,https://riseetf.co.kr/prod/finderDetail/44B4
RISE 글로벌데이터센터리츠(합성),"14,660",상승 200,https://riseetf.co.kr/prod/finderDetail/44B2
RISE 차이나항셍테크,"9,260",상승 140,https://riseetf.co.kr/prod/finderDetail/44B1
RISE 미국나스닥100,"27,340",상승 150,https://riseetf.co.kr/prod/finderDetail/44A9
RISE 5G테크,"20,670",상승 405,https://riseetf.co.kr/prod/finderDetail/44A7
RISE 수소경제테마,"17,830",하락 -30,https://riseetf.co.kr/prod/finderDetail/44A8
RISE 200TR,"32,185",상승 200,https://riseetf.co.kr/prod/finderDetail/44A5
RISE 미국고정배당우선증권,"12,205",상승 35,https://riseetf.co.kr/prod/finderDetail/44A4
RISE 금융채액티브,"102,775",하락 -135,https://riseetf.co.kr/prod/finderDetail/4500
RISE 팔라듐선물(H),"7,045",상승 80,https://riseetf.co.kr/prod/finderDetail/4498
